niche_user Novelty Normal,niche_user Novelty Calibrated,niche_user Diversity Normal,niche_user Diversity Calibrated,niche_user Serendipity Normal,niche_user Serendipity Calibrated,niche_user MRR Normal,niche_user MRR Calibrated,niche_user PL Normal,niche_user PL Calibrated,niche_user KLD Normal,niche_user KLD Calibrated,niche_user NCDG Normal,niche_user coverage,niche_user DPF,niche_user normalized_DPF,niche_user coverage_category_I1,niche_user coverage_category_I2,niche_user normalized_coverage_category_I1,niche_user normalized_coverage_category_I2,blockbuster Novelty Normal,blockbuster Novelty Calibrated,blockbuster Diversity Normal,blockbuster Diversity Calibrated,blockbuster Serendipity Normal,blockbuster Serendipity Calibrated,blockbuster MRR Normal,blockbuster MRR Calibrated,blockbuster PL Normal,blockbuster PL Calibrated,blockbuster KLD Normal,blockbuster KLD Calibrated,blockbuster NCDG Normal,blockbuster coverage,blockbuster DPF,blockbuster normalized_DPF,blockbuster coverage_category_I1,blockbuster coverage_category_I2,blockbuster normalized_coverage_category_I1,blockbuster normalized_coverage_category_I2,diverse Novelty Normal,diverse Novelty Calibrated,diverse Diversity Normal,diverse Diversity Calibrated,diverse Serendipity Normal,diverse Serendipity Calibrated,diverse MRR Normal,diverse MRR Calibrated,diverse PL Normal,diverse PL Calibrated,diverse KLD Normal,diverse KLD Calibrated,diverse NCDG Normal,diverse coverage,diverse DPF,diverse normalized_DPF,diverse coverage_category_I1,diverse coverage_category_I2,diverse normalized_coverage_category_I1,diverse normalized_coverage_category_I2,Learning Rate,learning_rate_factor,batch_size,dropout,latent_dim,mlp_layer_sizes,num_epochs,step_size,gamma,Test Losses,Train Losses,KLD_test,NDCG_test,recall_test,Total MRR,Calibrated_MRR,NDCG_normal,Calibrated_NDCG,average_recall,average_recall_calibrated,KLD_Normal,KLD_Calibrated,normal_PL,Calibrated_PL,novelty_normal,Calibrated_novelty,Coverage,exposure_I1,exposure_I2,DPF,normalized_DPF,normalized_exposure_1,normalized_exposure_2,PL_per_category,kld_pre_category,ndcg_per_category,epsilon,model_name
0.022175952368815612,0.021055458874799555,0.6954126938632945,0.672719220489595,0.23836003101688974,0.2721039556036087,0.0050324153757888655,0.005657439280933252,0.6250179062182344,0.5302205102839268,0.19531607143260174,0.05162828982554824,0.07190960676839593,0.5295,0.17146144994246254,-0.49681159420289855,0.6666666666666666,0.4952052167242041,0.2515942028985507,0.7484057971014493,0.014271544386793468,0.014659359194063306,0.6857114929106272,0.6888698513205697,0.2379972116524455,0.24942901315625493,0.0007407407407407407,0.0007407407407407407,-0.543964636393704,-0.5292207270695275,0.3127392302829124,0.2241332519051972,0.020068666377598746,0.0433,0.05533666007328726,-0.19148936170212766,0.08755760368663594,0.03222094361334868,0.40425531914893614,0.5957446808510638,0.020786655192320733,0.020188158574566552,0.6952946428881831,0.6839085754420443,0.24395285095907654,0.2653657143223455,0.004928935344304715,0.005141724960575806,0.1277198309877913,0.08959991057419253,0.17041378556945327,0.06773787143567517,0.0733718005293318,0.5715,0.18993882121689387,-0.4940923737916219,0.7235023041474654,0.5335634829305715,0.252953813104189,0.7470461868958109,0.0005,0.2,256,None,5,None,400,None,None,0.7614400737163086,0.5993296740601747,0.18103676891989076,0.07263638988391838,0.018260334859890537,0.00496120469828655,0.0053434662481532755,0.07263638988391838,0.07644192291142632,0.018260334859890537,0.01802674875445778,0.18103676891989076,0.06148299771885284,0.2959201248904288,0.23852581531667114,23.52324722973085,23.574033198042855,0.6341,0.7726574500768049,0.5995397008055235,0.17311774927128132,-0.5130687318489835,0.24346563407550822,0.7565343659244917,"{'I1': 0.19535539907075122, 'I2': -0.0733801890266706}","{'I1': 0.2666540223675846, 'I2': 0.3256476665281422}","{'I1': 0.058889208567136545, 'I2': 0.05994911385143966}",0.1,BPR_50_0.1_256_1M_50
0.022885716655216562,0.022016232623189816,0.6904331710580771,0.6808732625150268,0.22906423380453383,0.264034990852672,0.005067794989481728,0.005522598329827241,0.683601130480513,0.6108949886306073,0.2216351866688524,0.06287935145232314,0.0744998306187302,0.5325,0.1580272184600482,-0.5054755043227666,0.6589861751152074,0.5009589566551592,0.24726224783861672,0.7527377521613833,0.017374178982182235,0.017178657363529835,0.7171902378006281,0.7060729824811095,0.24559488988283606,0.24487806979620635,0.01061904761904762,0.012367724867724868,-0.4299954296569799,-0.43955425765019984,0.2747477560657693,0.16098681832771816,0.13597962158016133,0.0417,0.07069234019009438,-0.05882352941176472,0.09831029185867896,0.02761795166858458,0.47058823529411764,0.5294117647058824,0.02134841766327694,0.02080697934944859,0.6944811296730422,0.6873357793509826,0.2368996637044254,0.26017414629628527,0.005186113694463544,0.004980894424002265,0.16247938373407517,0.1282271563536615,0.17857993879027917,0.07262791839147537,0.07562951839520445,0.5758,0.16921121616915813,-0.5063965884861408,0.7112135176651305,0.5420023014959724,0.24680170575692964,0.7531982942430704,0.0005,0.2,256,None,5,None,400,None,None,0.7650705679538503,0.5935181008368329,0.19657432177749012,0.07531357420579628,0.01846950303244291,0.005150817310472863,0.005222637581034442,0.07531357420579628,0.07606878636549119,0.01846950303244291,0.018433455962221908,0.19657432177749012,0.0688272313793115,0.3392287131395919,0.29185013788820874,23.486917509679795,23.531835988354175,0.6387,0.7649769585253456,0.607211354046797,0.1577656044785486,-0.5213839500240269,0.23930802498798653,0.7606919750120135,"{'I1': 0.23093083359635197, 'I2': -0.14770139201472243}","{'I1': 0.27188688665578126, 'I2': 0.34317638198830597}","{'I1': 0.05408777320502529, 'I2': 0.06423619544102396}",0.1,BPR_50_0.1_256_1M_50
0.028304546674526625,0.027752861922619176,0.6148616057827216,0.6101995694865184,0.32189787480708915,0.33910959394589046,0.015072491660251467,0.015707962168701194,0.7518994142583499,0.7147194157790951,0.2033305120841651,0.14039008642229237,0.16596892312096667,0.3364,0.4837631403576687,-0.1405109489051095,0.7235023041474654,0.2397391637897967,0.42974452554744524,0.5702554744525548,0.04268624900772017,0.04260606467206116,0.6760506771457655,0.6753280826878264,0.28391855655623965,0.29063181256357545,0.013767558645877238,0.013918124034274478,0.1348567177172274,0.1324906171427734,0.171756338652249,0.14794855140251478,0.15829351910238304,0.2459,0.7927274848467172,0.4307116104868914,0.880184331797235,0.08745684695051784,0.7153558052434457,0.2846441947565543,0.04268902691437743,0.04236906595767715,0.6430999228020012,0.641637286933162,0.3021938832469965,0.3127451337597996,0.021640996680881742,0.021446188416513825,0.653758962785405,0.6398594771265786,0.15828048173998116,0.12292016365569942,0.2288333791365498,0.4408,0.6470562240264159,-0.13091922005571033,0.9585253456221198,0.3114691215957039,0.43454038997214484,0.5654596100278552,0.0005,0.2,256,None,5,None,400,None,None,0.28422856430380494,0.19465298692568897,0.1635287158883286,0.21376409412071104,0.02263927130681481,0.019991153908841826,0.019907595808556347,0.21376409412071104,0.21452116267905785,0.02263927130681481,0.023014903721492466,0.1635287158883286,0.12792018668999153,0.549654659023997,0.5371920735698794,22.10374821836311,22.12147888907108,0.5101,0.9800307219662059,0.3927886459532029,0.587242076013003,-0.23225030084235865,0.3838748495788207,0.6161251504211793,"{'I1': 0.2647493558699731, 'I2': 0.2956181633980584}","{'I1': 0.1607027209996595, 'I2': 0.5491794738208376}","{'I1': 0.21424923333958848, 'I2': 0.026742775648594837}",12.0,BPR_50_12.0_256_1M_50
0.027159743574820268,0.026588699271564497,0.6019986215661255,0.5979952264745928,0.32390363074094347,0.33866876390819195,0.016199274166941596,0.01742283441475127,0.6805392650438367,0.6417157122717982,0.19061825490590062,0.13861755429149134,0.16714531436556535,0.36,0.4542272753787658,-0.19693094629156005,0.7235023041474654,0.26927502876869963,0.40153452685422,0.59846547314578,0.04116106726225201,0.04112307488997401,0.6634062044558087,0.6631660704983003,0.2952239120156226,0.30061933416496633,0.013367089830032305,0.013218324202837478,0.0897329864669172,0.08868109081827422,0.15430175278711616,0.13338782986607248,0.15215251748886965,0.2707,0.7750950560260482,0.3151927437641724,0.890937019969278,0.11584196394322976,0.6575963718820862,0.3424036281179138,0.041519111489071864,0.041351027436313255,0.634385465973181,0.6328430724462979,0.31080657883276636,0.3196579091596834,0.022216710054935924,0.0220167441577779,0.6045403698283198,0.597254580824665,0.14107250888756703,0.11182827404146174,0.2308377538564286,0.4914,0.602961894509465,-0.20799500312304814,0.9738863287250384,0.3709244342155735,0.39600249843847596,0.6039975015615241,0.0005,0.2,256,None,5,None,400,None,None,0.2866403186978998,0.1917129670132849,0.14660621947238497,0.2144895789680853,0.022589473916808496,0.020460233337013675,0.020370017665893712,0.2144895789680853,0.21551674775746452,0.022589473916808496,0.022997383293656193,0.14660621947238497,0.11697726324545495,0.5003694840815546,0.49307252200850193,22.195864739155894,22.206277290561435,0.5528,0.9769585253456221,0.44687380130418103,0.530084724041441,-0.2937257079400333,0.35313714602998336,0.6468628539700166,"{'I2': 0.19259143658325784, 'I1': 0.23814123311376525}","{'I1': 0.1462914954683122, 'I2': 0.5577814505943902}","{'I2': 0.03303554706660065, 'I1': 0.21487408132711866}",12.0,BPR_50_12.0_256_1M_50
0.026098035022098804,0.025068402346513585,0.6802803763463386,0.6764576305141182,0.2279021527808899,0.2614544472339682,0.0021324636508685568,0.0021390742863135487,0.9163470466710801,0.8304055496231136,0.22223658591025905,0.06762669949374532,0.03263275859789021,0.5117,0.15147626295033395,-0.5056988602279544,0.6328725038402457,0.4813962408899118,0.2471505698860228,0.7528494301139772,0.01730663435381103,0.017232267479884912,0.688059367792183,0.6853455223210377,0.24572507676806138,0.25435071164629697,0.0,0.0,-0.44949552111048585,-0.45262277607876705,0.23133607843619966,0.12443575218327316,0.0,0.0531,0.07953595336200481,-0.12138728323699421,0.11674347158218126,0.03720751822017645,0.4393063583815029,0.5606936416184971,0.024509182008783926,0.023986435489494962,0.6887201523511288,0.6862278142654896,0.23404401371872333,0.25704406806430674,0.0010151463338177872,0.001170629831825009,0.3017258641747337,0.26989934828778095,0.18530781889222922,0.07575944766979166,0.016482996919250627,0.5826,0.18956761218909035,-0.49631190727081137,0.7342549923195084,0.5446873801304181,0.2518440463645943,0.7481559536354057,0.0005,0.2,256,None,5,None,400,None,None,0.7817732522085628,0.5770646294432539,0.1984202108269898,0.022096061685506384,0.0026385586074135206,0.0014038996408986448,0.001506622081315686,0.022096061685506384,0.022868530559585883,0.0026385586074135206,0.002655227527348785,0.1984202108269898,0.07306654152623873,0.47143645477189816,0.42445160863197134,23.294506633959763,23.338284828995754,0.6381,0.7726574500768049,0.6045262754123514,0.1681311746644535,-0.5161135161135162,0.24194324194324193,0.7580567580567581,"{'I2': -0.1531394475622214, 'I1': 0.33187462803594614}","{'I2': 0.33992570658830656, 'I1': 0.26072503616855924}","{'I2': 0.014155696819529617, 'I1': 0.022154416306841927}",0.2,BPR_50_0.2_256_1M_50
0.024501733433978413,0.023556735111382298,0.6839091350926573,0.67001656977454,0.23673829755970982,0.27096143703811754,0.002419904567143827,0.002357955609489349,0.7835536137404167,0.7038705672693968,0.20955409830683702,0.05718742906249882,0.035578256114903326,0.5196,0.17413769026672254,-0.4932073242764323,0.6589861751152074,0.48484848484848486,0.25339633786178384,0.7466036621382162,0.020327010124506568,0.020195519805433455,0.7058316055212636,0.6974912274250602,0.256346084547984,0.25139618079157633,0.0017698412698412696,0.0018948412698412697,-0.34017610281067817,-0.34572445839956417,0.25713431075109,0.11951782501506017,0.04617140776576012,0.0534,0.10410822334056308,0.02298850574712641,0.13671274961597543,0.032604526275412354,0.5114942528735632,0.4885057471264368,0.022917364151165274,0.02237874235821722,0.6901260827762787,0.6811639264664374,0.238927820994137,0.26235992410040343,0.001194995053676766,0.0011121085178535796,0.206374197386671,0.1734665316463985,0.17474456664963242,0.06718133592408951,0.018680412463071287,0.585,0.19225799380964748,-0.4952780692549843,0.738863287250384,0.5466052934407365,0.25236096537250785,0.7476390346274921,0.0005,0.2,256,None,5,None,400,None,None,0.7679659583727845,0.5844540719534106,0.18723366775325043,0.02470166960190631,0.002882007415865718,0.0016267738187247932,0.001551923794802231,0.02470166960190631,0.023918751598651034,0.002882007415865718,0.0029219137049857112,0.18723366775325043,0.0638473910983374,0.366662901711517,0.32066754956415416,23.39855472270574,23.43946165005015,0.6354,0.7880184331797235,0.5972382048331415,0.19078022834658204,-0.5043478260869565,0.24782608695652175,0.7521739130434782,"{'I2': -0.09978159858049733, 'I1': 0.22618765686060185}","{'I2': 0.3249646174692355, 'I1': 0.2599448510994251}","{'I2': 0.014608337266070666, 'I1': 0.024757823192817323}",0.2,BPR_50_0.2_256_1M_50
0.02824962188870709,0.027876335261849464,0.6069666022001109,0.6040074087305171,0.3222102111911095,0.3370390988130825,0.017878679570365468,0.01853147109498148,0.752970368299106,0.727591348844252,0.1992238026043042,0.14412865086905427,0.18144141277580114,0.3465,0.4787836363989896,-0.15854738706820193,0.7296466973886329,0.2508630609896433,0.42072630646589904,0.579273693534101,0.042321143432426205,0.04224949367475819,0.6729730720177761,0.6724191984261372,0.2861009451311344,0.2928904543862263,0.013306015960712084,0.0136635972989564,0.12297783128762957,0.12090195314139397,0.16906325197577457,0.1453094828598655,0.15360036852756018,0.2354,0.7884921666056823,0.470664928292047,0.8663594470046083,0.07786728039892597,0.7353324641460235,0.2646675358539765,0.04251639674486895,0.042279423101324064,0.6427290087027651,0.6417613887502,0.30325827462770877,0.31348079856524763,0.022001106045254917,0.021799890239783827,0.6457636443307377,0.6356339008906304,0.15785420161967154,0.12348860973675446,0.23361272563814423,0.4408,0.6393775001369937,-0.13649025069637882,0.9523809523809523,0.3130034522439586,0.43175487465181056,0.5682451253481894,0.0005,0.2,256,None,5,None,400,None,None,0.2821976791786207,0.19333104845752985,0.16250097667740906,0.21787881347277935,0.02303289128831837,0.020402221118103775,0.020346003091531357,0.21787881347277935,0.21840326363320836,0.02303289128831837,0.023196719049709092,0.16250097667740906,0.12823935965174305,0.5410965754680633,0.5320141403701172,22.11443296412828,22.12825538653479,0.5129,0.9708141321044547,0.398542385884158,0.5722717462202966,-0.24356672651107125,0.3782166367444644,0.6217833632555356,"{'I1': 0.2554687192768321, 'I2': 0.263531010866831}","{'I1': 0.16142801266752346, 'I2': 0.559340731115687}","{'I1': 0.21696541011231735, 'I2': 0.03773574063166015}",13.0,BPR_50_13.0_256_1M_50
0.028118977654979546,0.027595428820052663,0.6144183715502659,0.6099995458147442,0.31760245835982837,0.33487966130561136,0.01712159536639905,0.01698247736353971,0.7382272449473437,0.7024251362124826,0.20903116312254186,0.14456114400718476,0.17228443666750273,0.3392,0.4822305773714512,-0.14570135746606333,0.7250384024577573,0.2428078250863061,0.4271493212669683,0.5728506787330316,0.043148598934168496,0.04297953394458187,0.6726663220081771,0.6726295282554269,0.2875322801100179,0.2944620819201015,0.013693414013855994,0.013557572568622292,0.14811539574160199,0.1431347485963037,0.1653187093514724,0.14147222455594657,0.15755412784004302,0.2299,0.793476973550473,0.5033377837116155,0.8648233486943164,0.0713463751438435,0.7516688918558078,0.24833110814419226,0.04284742918664409,0.04256774168213558,0.6397689484960538,0.6381233030324905,0.30589063458141763,0.3162626431986524,0.022135672070246495,0.021905749746707164,0.6593246042920855,0.6471561224961268,0.14726680943966633,0.11339729832554926,0.2323548146614163,0.4245,0.6789041909499239,-0.08893709327548804,0.967741935483871,0.28883774453394706,0.455531453362256,0.544468546637744,0.0005,0.2,256,None,5,None,400,None,None,0.28028051744112786,0.19605750860424112,0.15440177707213895,0.21683558722771185,0.02312561031433946,0.02051074017991865,0.02030143088481937,0.21683558722771185,0.21716090204183852,0.02312561031433946,0.023697296603783908,0.15440177707213895,0.11984011936209411,0.5558975628511763,0.5442471427131162,22.082989772770166,22.098747395504013,0.4988,0.9769585253456221,0.3793632527809743,0.5975952725646478,-0.21723076923076928,0.3913846153846154,0.6086153846153847,"{'I1': 0.2606335236293134, 'I2': 0.2897590010245884}","{'I1': 0.14942861552429673, 'I2': 0.5688204755131115}","{'I1': 0.21702699548205268, 'I2': 0.029015522803754863}",13.0,BPR_50_13.0_256_1M_50
0.02893109619389883,0.027850867056761583,0.6857557197938975,0.6772803022098133,0.23140048925495435,0.2626676579011393,0.0017723424414695262,0.0020708274751920436,1.0826349639751327,0.9932068102988564,0.24003661220840883,0.07815467312377498,0.027625948137704137,0.4589,0.19057694721230856,-0.46755852842809364,0.6113671274961597,0.4207901802838512,0.2662207357859532,0.7337792642140468,0.01724857848435761,0.017392958009700848,0.6963285195687074,0.6928362610079238,0.2358775054612832,0.24428829407898814,0.0005555555555555556,0.0005555555555555556,-0.47479532394410984,-0.47045915613688655,0.21417700504196213,0.12588543133620736,0.0107459113120706,0.0958,0.1106839261187975,-0.23076923076923078,0.18433179723502305,0.07364787111622555,0.38461538461538464,0.6153846153846154,0.02887704503583156,0.028179991650849945,0.6887474326436309,0.6877516968696729,0.2311509777668218,0.2529340427240608,0.0010321478576429059,0.001147552255225522,0.44697793793333507,0.40644204221609687,0.19816087039155036,0.08528436615747761,0.016758064973094015,0.5626,0.24905474272562877,-0.45881069285324605,0.7619047619047619,0.5128500191791331,0.270594653573377,0.729405346426623,0.0005,0.2,256,None,5,None,400,None,None,0.8088086908703909,0.5472397664034298,0.2090616631371748,0.019526485714840575,0.002479662857896457,0.001220300530502582,0.0013822576065868524,0.019526485714840575,0.021271548129961716,0.002479662857896457,0.002605634117958611,0.2090616631371748,0.08368674717767065,0.5622092545110151,0.5125510568114885,23.047515198338125,23.088644810871283,0.609,0.7910906298003072,0.5634829305715382,0.227607699228769,-0.48084677419354843,0.2595766129032258,0.7404233870967742,"{'I1': 0.3414540844484646, 'I2': -0.062022370355276}","{'I1': 0.25394690721034946, 'I2': 0.4379779133924689}","{'I1': 0.020015012917245667, 'I2': 0.011174454945850662}",0.4,BPR_50_0.4_256_1M_50
